title,published_date,summary,official_url,rss_category,match_keywords,likely_appliance_recall
Nevenka Baby pull string giraffe toy,2026-08-12,"12 Aug 2026 Product description Giraffe motor skills toy with silicone pull strings, textured surfaces and colours. Reason the product is recalled The product does not comply with the mandatory standard for toys for children up to and including 36 months of age . The product’s silicone pull strings that are too long and can reach the back of a child's throat causing choking or asphyxiation. The feet on the ends of the silicone pull strings can detach from the product and cause a child to choke if they place them in their mouth. The hazards to consumers Risk of serious injury or death from choking and asphyxiation if a child places the silicone pull strings in their mouth or the feet detach from the toy’s pull strings and the child places them in their mouth. What consumers should do Stop using the toy immediately and place out of reach of children. Cut the strings of the toy and take a photograph before disposing of it in household waste. Contact Y Warehouse directly with your order details and the photograph to arrange for a full refund. For further information or assistance with this recall, contact Y Warehouse. Contact Y Warehouse Email: bretpotestas@ywarehouse.com",https://www.productsafety.gov.au/search-consumer-product-recalls/nevenka-baby-pull-string-giraffe-toy,Rattles and toy teethers,2026 age and are arrange asphyxiation assistance aug baby back before bretpotestas can cause causing child children choke choking colours com comply consumers contact cut death description detach details directly disposing does email ends feet for from full further giraffe hazards household immediately including information injury long mandatory months motor mouth nevenka not order out photograph place places product pull rattles reach reason recall recalled refund risk serious should silicone skills standard stop string strings surfaces take teethers textured that,maybe
True Blue robotic pool cleaner sold at Bunnings Warehouse,2026-08-06,"6 Aug 2026 Product description Rechargeable robotic swimming pool cleaner. Please see attached list of affected serial numbers. Reason the product is recalled The affected product’s lithium-ion battery may overheat and ignite if charged in hot weather or direct sunlight and catch fire. The hazards to consumers Risk of serious injury or death and property damage if the cleaner ignites and causes a fire. Incidents of the cleaner catching fire while charging have occurred. What consumers should do Stop using the robotic pool cleaner immediately. Unplug it and place it in a cool place. Call the True Blue Customer Service number to arrange for a courier to collect the robotic pool cleaner, free of charge. You will need to provide your details, contact information, including the serial number of the robotic pool cleaner (available under the hood). Once the robotic pool cleaner has been collected, the courier will provide you with a receipt and you will be contacted by Bunnings, who will arrange the payment of a full refund. Contact True Blue Customer Service Call: 1300 827 665",https://www.productsafety.gov.au/search-consumer-product-recalls/true-blue-robotic-pool-cleaner-sold-at-bunnings-warehouse,Lithium-ion batteries,1300 2026 665 827 affected and arrange attached aug available batteries battery been blue bunnings call catch catching causes charge charged charging cleaner collect collected consumers contact contacted cool courier customer damage death description details direct fire for free full has have hazards hood hot ignite ignites immediately incidents including information injury ion list lithium may need number numbers occurred once overheat payment place please pool product property provide reason recalled receipt rechargeable refund risk robotic see serial serious service,maybe
Findon Light Up Sensory Plush,2026-08-06,"6 Aug 2026 Product description Sensory light up plush toys, in assorted animal designs and powered by 4 AA batteries. SKU: 718761 Reason the product is recalled The product contains a non-compliant circuit board, which may cause the product to overheat and catch fire. The hazards to consumers Risk of serious burn injury and property damage if the toy overheats or catches fire while in use. Incidents of overheating have occurred. What consumers should do Stop using the toy immediately, remove the AA batteries and place out of reach of children. Return the toy to any ALDI store for a full refund. Contact Aldi if you require further information or assistance with this recall. Contact ALDI Call 13 25 34 (Monday to Friday, 8.30am to 5.30pm) Email customer@service.aldi.com.au Visit https://www.aldi.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/findon-light-up-sensory-plush,Stuffed and plush toys,2026 30am 30pm 718761 aldi and animal any assistance assorted aug batteries board burn call catch catches cause children circuit com compliant consumers contact contains customer damage description designs email findon fire for friday full further have hazards https immediately incidents information injury light may monday non occurred out overheat overheating overheats place plush powered product property reach reason recall recalled refund remove require return risk sensory serious service should sku stop store stuffed the this toy toys use using,maybe
Secret diary pen with UV light,2026-08-05,"5 Aug 2026 Product description Clear fluid pen with inbuilt UV light to illuminate the ink. Reason the product is recalled The pen doesn’t comply with the mandatory standards for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The hazards to consumers Children are at risk of choking, serious injury or death if they swallow or place button/coin batteries inside their bodies. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the product immediately and keep out of reach of children. Return the product to the place of purchase for a full refund. For further assistance or information about this recall, contact Splosh Australia. Contact Splosh Australia Call: (07) 3805 4718 Email: Sales@splosh.com.au Visit: https://www.splosh.com.au/",https://www.productsafety.gov.au/search-consumer-product-recalls/secret-diary-pen-with-uv-light,Button batteries,000 2026 3805 4718 about access action and any appropriate are assistance aug australia available batteries battery bleeding bodies breathing button call can centre child children choking clear coin com comply consumers contact containing could day death description develop diary difficulty direct doesn early email facility fluid for full further has having hazards hours https illuminate immediately inbuilt information injury ink inserted inside isn keep light lives mandatory medical not out pen place poisons product products purchase reach reason recall,maybe
Jollybaby baby sensory pull string toy whale,2026-08-03,"3 Aug 2026 Product description Plush sensory and teething toy with pull strings, textured surfaces and colours. Reason the product is recalled The product may not comply with the mandatory standard for toys for children up to and including 36 months of age as it was not tested to this standard prior to sale. Small parts may detach from the product. The hazards to consumers Risk of serious injury or death from choking if small parts detach from the toy and the child places them in their mouth. What consumers should do Stop using the toy immediately and place out of reach of children. Cut the strings of the toy and take a photograph before disposing of it in household waste. Email the photograph and your order details to oneoneplusau@gmail.com to receive a full refund. For further information or assistance with this recall, please email BabyCoo Australia. Contact BabyCoo Australia Email: oneoneplusau@gmail.com Visit: https://babycoo.com.au/",https://www.productsafety.gov.au/search-consumer-product-recalls/jollybaby-baby-sensory-pull-string-toy-whale,Rattles and toy teethers,2026 age and assistance aug australia baby babycoo before child children choking colours com comply consumers contact cut death description detach details disposing email for from full further gmail hazards household https immediately including information injury jollybaby mandatory may months mouth not oneoneplusau order out parts photograph place places please plush prior product pull rattles reach reason recall recalled receive refund risk sale sensory serious should small standard stop string strings surfaces take teethers teething tested textured the their them,maybe
Glow Crown Headbands with LED battery pack,2026-07-31,"31 Jul 2026 Product description LED battery pack used in a children’s craft activity at Fizz Kidz to create glow crown headbands. Reason the product is recalled The battery pack doesn’t comply with the mandatory standard for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The hazards to consumers Children are at risk of choking, serious injury or death if they swallow or place button or coin batteries inside their bodies. If you suspect a child has swallowed or inserted a button or coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the affected product immediately and place out of reach of children. Remove the LED battery pack from the crown and place in a secure container or sealed bag. Do not open the battery casing or attempt to remove the batteries. Return the battery pack to any Fizz Kidz studio or dispose of it properly through your local battery or e-waste recycling facility. Fizz Kidz will provide a free replacement with a compliant battery pack. Contact Fizz Kids if you have any questions or need assistance returning the battery pack. Contact Fizz Kidz Phone: 03 9059 8144 Email: kym@fizzkidz.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/glow-crown-headbands-with-led-battery-pack,Button batteries,000 2026 8144 9059 access action activity affected and any appropriate are assistance attempt available bag batteries battery bleeding bodies breathing button call can casing centre child children choking coin com compliant comply consumers contact container containing could craft create crown day death description develop difficulty direct dispose doesn early email facility fizz fizzkidz for free from glow has have having hazards headbands hours immediately information injury inserted inside isn jul kids kidz kym led lives local mandatory medical need,maybe
Pokémon Pikachu Co-BOLT teapot,2026-07-31,"31 Jul 2026 Product description Blue collectible teapot with Pokémon Pikachu character design. Reason the product is recalled The product does not include a warning label specifying that the maximum safe temperature limit is 90°C. The teapot may crack, break or otherwise fail when filled with hot liquid. The hazards to consumers Risk of serious burn injuries and laceration from sharp edges if the teapot cracks or breaks. Incidents of the teapot cracking during use have occurred, with one reported burn injury. What consumers should do Stop using the teapot immediately. Return the product to your nearest EB Games or Zing Pop Culture store for a full refund. To assist with processing your refund quickly, please provide your proof of purchase. If you cannot find your proof of purchase or you have gifted the product to another person, please contact EB Games Customer Service. Contact EB Games Call: 07 4800 4084 8am to 4pm Monday to Friday Email: customer.service@ebgames.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/pok%C3%A9mon-pikachu-co-bolt-teapot,Kitchenware and containers,2026 4084 4800 4pm 8am and another assist blue bolt break breaks burn call cannot character collectible com consumers contact containers crack cracking cracks culture customer description design does during ebgames edges email fail filled find for friday from full games gifted have hazards hot immediately incidents include injuries injury jul kitchenware label laceration limit liquid maximum may mon monday nearest not occurred one otherwise person pikachu please pok pop processing product proof provide purchase quickly reason recalled refund reported,maybe
Aussie Clean Drain Cleaner 4pk,2026-07-30,"30 Jul 2026 Product description Drain cleaning powder used to help clear blocked household drains and pipes, supplied in 4 single-use foil packs for domestic use. Reason the product is recalled The product is not packed and labelled as legally required. The packaging does not contain the required safety information to ensure consumers know how to handle the product safely. The hazards to consumers Risk of serious illness or death if a child swallows the contents of the product. Risk of serious injury if the product comes into contact with mucous membranes (eg, mouth, nose or eyes) or skin. An incident of a child ingesting the product has occurred. What consumers should do Stop using the product immediately and place out of reach of children. Return the product to the place of purchase for a full refund. Contact MNB Variety Imports Call: 02 9690 1622 Email: Info@mnb.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/aussie-clean-drain-cleaner-4pk,Cleaning products,1622 2026 4pk 9690 and aussie blocked call child children clean cleaner cleaning clear com comes consumers contact contain contents death description does domestic drain drains email ensure eyes foil for full handle has hazards help household how illness immediately imports incident info information ingesting injury into jul know labelled legally membranes mnb mouth mucous nose not occurred out packaging packed packs pipes place powder product products purchase reach reason recalled refund required return risk safely safety serious should single,maybe
Crazer LED light show toy - 5 Images,2026-07-28,"28 Jul 2026 Product description Interactive laser cat toy that contains button batteries. Reason the product is recalled The cat toy doesn’t comply with the mandatory standards for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The screw isn’t secured to the battery covering and could be lost when replacing the battery. The hazards to consumers Children are at risk of choking, serious injury or death if they swallow or place button/coin batteries inside their bodies. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the product immediately and keep out of reach of children. Return the product to the place of purchase for a full refund. Contact Pet Pacific Pty Ltd Call: 02 4728 6000 Email: support@petpacific.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/crazer-led-light-show-toy-5-images,Button batteries,000 2026 4728 6000 access action and any appropriate are available batteries battery bleeding bodies breathing button call can cat centre child children choking coin com comply consumers contact containing contains could covering crazer day death description develop difficulty direct doesn early email facility for full has having hazards hours images immediately information injury inserted inside interactive isn jul keep laser led light lives lost ltd mandatory medical not out pacific pet petpacific place poisons product products pty purchase reach,maybe
The Dot Space laser cat toy,2026-07-28,"28 Jul 2026 Product description Interactive laser cat toy that contains button batteries. Reason the product is recalled The cat toy doesn’t comply with the mandatory standards for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The screw isn’t secured to the battery covering and could be lost when replacing the battery. The hazards to consumers Children are at risk of choking, serious injury or death if they swallow or place button/coin batteries inside their bodies. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the product immediately and keep out of reach of children. Return the product to the place of purchase for a full refund. Contact Pet Pacific Pty Ltd Call: 02 4728 6000 Email: support@petpacific.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/the-dot-space-laser-cat-toy,Button batteries,000 2026 4728 6000 access action and any appropriate are available batteries battery bleeding bodies breathing button call can cat centre child children choking coin com comply consumers contact containing contains could covering day death description develop difficulty direct doesn dot early email facility for full has having hazards hours immediately information injury inserted inside interactive isn jul keep laser lives lost ltd mandatory medical not out pacific pet petpacific place poisons product products pty purchase reach reason recalled refund,maybe
ARB bull bar mounting brackets for MY26 N90 Hilux,2026-07-28,"28 Jul 2026 Product description Brackets for mounting a bull bar to the front of MY26 N90 Hilux vehicles. Affected bull bars: Summit MKII (part number 3414770) Commercial Bar (part number 3414780) Reason the product is recalled The mounting brackets may become loose during or after use on corrugated roads, causing the bull bar to detach from the vehicle. The hazards to consumers Risk of serious injury or property damage (including to other road users) if the bull bar detaches from the vehicle. An incident of the bull bar detaching has occurred. What consumers should do Stop using the vehicle on corrugated roads immediately. Contact your nearest ARB store to arrange for a free replacement of the bull bar mounting brackets. For further information or assistance with this recall please contact your nearest ARB store. Contact ARB Corporation Ltd call: 1800 879 602 email: productrecall@arb.com.au visit: https://www.arb.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/arb-bull-bar-mounting-brackets-for-my26-n90-hilux,Car parts and accessories,1800 2026 3414770 3414780 602 879 accessories affected after and arb arrange assistance bar bars become brackets bull call car causing com commercial consumers contact corporation corrugated damage description detach detaches detaching during email for free from front further has hazards hilux https immediately incident including information injury jul loose ltd may mkii mounting my26 n90 nearest number occurred other part parts please product productrecall property reason recall recalled replacement risk road roads serious should stop store summit the this,maybe
Scented wood bowl & coconut bowl candles,2026-07-24,24 Jul 2026 Product description Scented candles in various wood and coconut bowls. Reason the product is recalled The products do not comply with the permanent ban on combustible candle holders . The candles have wood and coconut containers and contain dried flowers that present a fire risk. The hazards to consumers Risk of serious injury or death from burns and/or property damage if the candle catches fire. What consumers should do Stop using the candle immediately and place it away from any ignition source. Contact Verve & Vibe for a free replacement product or a full refund. Contact Verve & Vibe Call: 0400 567 954 Email: info@vervevibe.com.au Visit: https://www.vervevibe.com.au/,https://www.productsafety.gov.au/search-consumer-product-recalls/scented-wood-bowl-coconut-bowl-candles,"Decorations, candles and novelties",0400 2026 567 954 and any away ban bowl bowls burns call candle candles catches coconut com combustible comply consumers contact contain containers damage death decorations description dried email fire flowers for free from full have hazards holders https ignition immediately info injury jul not novelties permanent place present product products property reason recalled refund replacement risk scented serious should source stop that the using various verve vervevibe vibe visit what with wood www,maybe
